N_train,seed,model,lambda_selected,MAE,RMSE,R2
25,10,PLS,,0.15597710853583294,0.20957967567874908,0.23907300332235726
25,10,Standard_MLP,,0.13469132670195058,0.1885277994571683,0.3842627022773333
25,10,PGNN,0.2,0.07958970805578014,0.09654956136989021,0.8385101337508147
25,11,PLS,,0.1349383644300991,0.18393941473691644,0.4138695752396929
25,11,Standard_MLP,,0.1226606259827083,0.1712113582788733,0.4921799896090433
25,11,PGNN,0.2,0.08517248775026921,0.10280245799506796,0.8169154646943235
40,0,PLS,,0.07868159882572756,0.10310023873974923,0.8158532719977536
40,0,Standard_MLP,,0.09481461298837068,0.1222190914340202,0.7412247323620702
40,0,PGNN,2.0,0.07806679792528547,0.09490357541640128,0.8439693874320731
40,1,PLS,,0.12270565559898478,0.15905864970101138,0.5617123360300019
40,1,Standard_MLP,,0.11348186311481832,0.14678750936656254,0.626730188133861
40,1,PGNN,0.1,0.07691892330814672,0.09706601749716667,0.8367778525277514
40,2,PLS,,0.08893657414587494,0.1150500281932956,0.770692571807508
40,2,Standard_MLP,,0.08123628738727234,0.10608323249923644,0.8050433048287198
40,2,PGNN,1.5,0.07759614813689449,0.09439604467473756,0.8456337838025744
40,3,PLS,,0.10498685972828838,0.13638651817918113,0.6777539894540245
40,3,Standard_MLP,,0.09258757155310031,0.12277809064198332,0.7388521737703465
40,3,PGNN,0.35,0.07611255186402374,0.09376895123268045,0.8476779479131129
40,4,PLS,,0.09469611240710567,0.12742051743952829,0.7187300128238223
40,4,Standard_MLP,,0.1057721393694136,0.14690353289074165,0.62613987639716
40,4,PGNN,1.5,0.08044909743509841,0.09867068324217945,0.831336567070612
40,5,PLS,,0.10023975697664916,0.13054218419435434,0.7047795659184241
40,5,Standard_MLP,,0.09654097660143428,0.12708332772934544,0.7202166785387152
40,5,PGNN,2.0,0.0800428017202373,0.09658838939001367,0.8383802192796483
40,6,PLS,,0.10375645742767875,0.13370122471029594,0.6903183761916446
40,6,Standard_MLP,,0.08698700111711881,0.11390160439364604,0.7752475950094099
40,6,PGNN,0.05,0.07027608926712249,0.08883595713199734,0.8632830892983862
40,7,PLS,,0.09862475518344585,0.13016620889437874,0.7064776492226752
40,7,Standard_MLP,,0.08469800574126651,0.11365150864670984,0.7762334970197757
40,7,PGNN,0.2,0.07504949203652157,0.09282302630975078,0.8507356438798417
40,8,PLS,,0.1022329213552099,0.13180303080161287,0.6990492302025582
40,8,Standard_MLP,,0.08334531336401524,0.11421724188127327,0.7740002275536408
40,8,PGNN,0.05,0.07222875121408351,0.09157835333827302,0.8547118060537588
40,9,PLS,,0.10297020259343634,0.1312448842766214,0.7015927068451596
40,9,Standard_MLP,,0.09301545185548214,0.12222635279807631,0.7411939823830771
40,9,PGNN,1.5,0.07098913813654986,0.08746047771030659,0.8674839887987531
40,10,PLS,,0.09651751684080263,0.14640920276721942,0.6286517203841812
40,10,Standard_MLP,,0.08618827034221387,0.12009060267210547,0.750159573096353
40,10,PGNN,0.05,0.06960680799649996,0.09033927071078156,0.8586167940921436
40,11,PLS,,0.09728757710277616,0.12407539709510089,0.7333043007718765
40,11,Standard_MLP,,0.09012525894388329,0.12246503383817894,0.7401822136168509
